reading_id,plant_id,component_id,sensor_id,sensor_type,timestamp,value,unit_of_measure,irradiance_wm2,panel_temperature_c,ambient_temperature_c,power_mw,energy_mwh,dc_voltage_v,dc_current_a,ac_voltage_v,ac_current_a,inverter_efficiency_pct,performance_ratio,tracker_angle_degrees,quality_flag,alarm_status,ingestion_datetime
SR-0000000585,PLT-0053,INV-043,SENS-9682,irradiance,2024-12-09T09:28:54,596.972139,W/m2,829.95,43.87,28.89,0.199,39.494,628.434,332.508,619.540,390.181,95.58,0.8334,31.24,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000586,PLT-0023,INV-027,SENS-7899,current,2024-12-09T09:03:05,961.503377,A,835.42,50.76,29.37,0.290,0.340,767.533,397.749,667.658,200.930,94.60,0.7674,-7.33,SUSPECT,CRITICAL,2025-12-09T14:25:05
SR-0000000587,PLT-0041,INV-018,SENS-7449,irradiance,2024-12-09T09:12:22,325.253304,W/m2,618.66,30.77,28.78,0.092,46.179,839.010,114.932,665.623,181.125,94.11,0.8492,32.16,NOT_VERIFIED,WARNING,2025-12-09T14:25:05
SR-0000000588,PLT-0095,INV-022,SENS-2807,irradiance,2024-12-09T09:58:00,214.273389,W/m2,918.94,48.59,18.06,0.105,26.565,620.820,178.812,493.393,390.084,97.26,0.8155,-43.53,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000589,PLT-0068,INV-018,SENS-5233,voltage,2024-12-09T09:27:25,526.049273,V,976.81,38.98,29.65,0.174,24.875,679.863,269.993,660.195,265.662,95.81,0.7531,-3.44,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000590,PLT-0074,INV-019,SENS-8117,irradiance,2024-12-09T09:56:11,868.218968,W/m2,959.31,26.51,16.60,0.256,30.506,984.158,273.708,585.962,188.158,94.78,0.8000,35.32,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
SR-0000000591,PLT-0078,INV-042,SENS-7750,power,2024-12-09T09:32:34,222.748340,MW,790.62,33.00,22.32,0.323,45.193,910.998,373.306,525.725,252.891,97.05,0.7915,-15.49,SUSPECT,FAULT,2025-12-09T14:25:05
SR-0000000592,PLT-0022,INV-032,SENS-5546,irradiance,2024-12-09T09:31:53,647.979939,W/m2,859.68,36.92,26.87,0.164,34.922,777.952,221.456,481.886,306.992,94.64,0.8132,-33.04,BAD,WARNING,2025-12-09T14:25:05
SR-0000000593,PLT-0082,INV-002,SENS-8643,power,2024-12-09T09:18:52,57.706408,MW,685.55,54.31,15.56,0.099,31.603,952.829,109.856,541.244,187.059,95.61,0.8173,-24.65,NOT_VERIFIED,FAULT,2025-12-09T14:25:05
SR-0000000594,PLT-0015,INV-001,SENS-1376,irradiance,2024-12-09T09:28:01,253.023868,W/m2,740.13,32.21,25.22,0.318,35.733,687.968,486.006,636.337,238.763,95.78,0.7507,32.72,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000595,PLT-0014,INV-032,SENS-5888,power,2024-12-09T09:37:06,812.065436,MW,770.94,47.83,29.67,0.257,16.567,750.479,360.735,610.454,365.318,96.77,0.8425,-2.67,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000596,PLT-0036,INV-019,SENS-4851,irradiance,2024-12-09T09:18:16,589.913008,W/m2,993.60,46.01,26.67,0.340,43.601,803.936,445.095,520.071,230.257,96.96,0.7829,-24.35,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000597,PLT-0068,INV-028,SENS-4796,tracking_angle,2024-12-09T09:55:19,786.631044,degrees,863.47,31.61,24.59,0.248,21.114,818.045,319.679,514.687,363.454,95.33,0.8318,-43.01,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000598,PLT-0006,INV-030,SENS-4406,irradiance,2024-12-09T09:59:57,651.440314,W/m2,768.28,36.93,27.11,0.185,35.496,698.731,278.940,575.382,147.255,97.51,0.8405,13.11,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000599,PLT-0021,INV-025,SENS-6210,irradiance,2024-12-09T09:46:18,718.776283,W/m2,722.70,36.69,19.20,0.289,5.437,905.994,335.831,522.986,277.388,96.75,0.8476,30.70,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000600,PLT-0027,INV-032,SENS-6016,voltage,2024-12-09T09:55:25,894.250578,V,956.28,50.69,21.64,0.059,48.742,606.360,103.080,536.099,354.039,95.50,0.8055,-9.24,BAD,WARNING,2025-12-09T14:25:05
SR-0000000601,PLT-0049,INV-044,SENS-3504,temperature,2024-12-09T09:53:41,397.844594,C,882.66,54.82,15.41,0.095,49.046,733.920,136.727,614.112,346.942,97.26,0.8140,-29.72,NOT_VERIFIED,FAULT,2025-12-09T14:25:05
SR-0000000602,PLT-0033,INV-030,SENS-4269,temperature,2024-12-09T09:26:43,936.258544,C,656.24,34.07,18.81,0.180,47.684,785.590,240.820,498.145,159.994,97.46,0.7816,10.95,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000603,PLT-0024,INV-033,SENS-3788,temperature,2024-12-09T09:15:39,582.534141,C,866.09,32.16,27.44,0.099,18.036,698.681,148.708,626.758,184.470,94.50,0.8138,31.04,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000604,PLT-0078,INV-024,SENS-5331,temperature,2024-12-09T09:29:19,213.546851,C,786.69,36.08,26.07,0.180,29.375,767.137,246.391,628.929,192.314,97.74,0.8484,-19.88,NOT_VERIFIED,CRITICAL,2025-12-09T14:25:05
SR-0000000605,PLT-0089,INV-036,SENS-8503,temperature,2024-12-09T09:50:29,881.830456,C,684.41,30.41,24.06,0.285,25.217,737.284,407.537,657.451,129.256,96.58,0.8175,-30.43,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000606,PLT-0024,INV-004,SENS-3777,tracking_angle,2024-12-09T09:54:48,679.844519,degrees,628.68,47.08,16.22,0.191,35.762,745.475,269.390,618.733,332.881,95.72,0.7556,37.80,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
SR-0000000607,PLT-0043,INV-012,SENS-8760,tracking_angle,2024-12-09T09:59:16,577.366557,degrees,955.74,54.00,20.84,0.070,43.682,681.667,108.854,569.263,328.119,94.89,0.7572,-17.42,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000608,PLT-0080,INV-030,SENS-2812,current,2024-12-09T09:07:33,564.842225,A,963.87,52.20,17.51,0.179,38.611,712.586,263.927,641.390,136.440,94.27,0.8372,0.75,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000609,PLT-0026,INV-030,SENS-9796,power,2024-12-09T09:40:44,977.031664,MW,895.05,32.41,25.08,0.180,26.615,778.838,242.899,603.481,335.076,94.34,0.7504,14.94,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000610,PLT-0052,INV-029,SENS-5817,temperature,2024-12-09T09:11:36,316.372988,C,702.40,46.55,17.46,0.215,3.905,868.110,260.310,523.096,226.594,97.41,0.7786,25.43,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000611,PLT-0055,INV-028,SENS-5879,temperature,2024-12-09T09:26:26,526.454979,C,617.93,25.82,20.47,0.230,9.863,628.661,384.399,584.243,218.772,94.76,0.8102,23.54,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000612,PLT-0070,INV-010,SENS-6235,voltage,2024-12-09T09:59:26,514.223271,V,968.88,31.05,17.29,0.198,46.648,698.867,298.882,586.222,177.892,94.94,0.8450,-17.98,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000613,PLT-0006,INV-030,SENS-8411,irradiance,2024-12-09T09:54:40,83.653350,W/m2,877.27,41.07,20.97,0.106,34.392,782.165,142.892,581.701,171.093,95.87,0.8240,-10.48,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000614,PLT-0010,INV-025,SENS-7684,voltage,2024-12-09T09:24:01,399.511196,V,916.87,48.15,19.99,0.367,22.979,823.058,469.226,558.908,265.592,96.65,0.7583,-33.49,BAD,NORMAL,2025-12-09T14:25:05
SR-0000000615,PLT-0022,INV-028,SENS-3665,voltage,2024-12-09T09:15:16,150.948432,V,970.36,31.57,21.41,0.094,32.393,933.661,105.471,515.255,378.474,94.09,0.7618,-25.01,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000616,PLT-0030,INV-025,SENS-9706,current,2024-12-09T09:30:07,529.228451,A,756.03,45.65,28.56,0.101,14.624,814.465,130.034,529.278,119.205,97.84,0.7573,30.63,NOT_VERIFIED,FAULT,2025-12-09T14:25:05
SR-0000000617,PLT-0004,INV-042,SENS-2335,irradiance,2024-12-09T09:39:14,720.319923,W/m2,936.68,52.97,24.01,0.144,27.054,763.957,198.325,574.862,243.164,97.47,0.8041,-22.66,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000618,PLT-0060,INV-034,SENS-3730,voltage,2024-12-09T09:27:44,574.429491,V,619.30,32.07,26.48,0.197,17.662,659.333,313.866,585.136,273.175,94.62,0.7692,15.09,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000619,PLT-0029,INV-031,SENS-5593,current,2024-12-09T09:03:35,546.227936,A,925.49,27.06,16.76,0.282,12.418,888.583,334.309,618.470,139.257,94.57,0.7770,-5.95,BAD,WARNING,2025-12-09T14:25:05
SR-0000000620,PLT-0063,INV-032,SENS-7268,current,2024-12-09T09:00:52,992.187703,A,965.26,50.62,26.30,0.122,39.678,626.190,204.852,605.374,311.266,94.12,0.7971,35.09,NOT_VERIFIED,CRITICAL,2025-12-09T14:25:05
SR-0000000621,PLT-0020,INV-006,SENS-3786,voltage,2024-12-09T09:31:36,48.842791,V,641.02,34.63,21.38,0.223,27.056,923.966,253.828,534.918,299.831,94.02,0.8145,-42.49,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000622,PLT-0043,INV-016,SENS-7481,irradiance,2024-12-09T09:19:14,853.123745,W/m2,777.14,54.34,24.40,0.120,25.419,729.050,172.824,579.400,391.743,96.02,0.8151,-21.58,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000623,PLT-0087,INV-022,SENS-9556,tracking_angle,2024-12-09T09:46:22,477.016230,degrees,936.97,49.15,27.35,0.217,11.390,629.457,363.378,529.353,115.944,94.15,0.7729,37.94,BAD,WARNING,2025-12-09T14:25:05
SR-0000000624,PLT-0015,INV-045,SENS-2182,irradiance,2024-12-09T09:31:46,706.759538,W/m2,625.51,40.35,24.11,0.188,47.552,790.131,249.850,663.336,144.301,95.20,0.7615,28.06,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000625,PLT-0020,INV-043,SENS-1775,voltage,2024-12-09T09:36:34,186.663529,V,692.97,42.79,29.75,0.225,48.361,728.437,324.630,642.526,142.423,96.69,0.7680,-25.15,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000626,PLT-0056,INV-009,SENS-9237,irradiance,2024-12-09T09:20:24,914.775108,W/m2,979.13,34.21,26.82,0.169,49.435,611.885,289.895,599.511,257.685,96.08,0.7840,21.39,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000627,PLT-0002,INV-025,SENS-6907,temperature,2024-12-09T09:28:09,750.686104,C,717.69,47.17,17.07,0.285,19.623,615.197,487.846,527.620,130.353,94.90,0.7862,-15.38,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000628,PLT-0037,INV-017,SENS-5536,temperature,2024-12-09T09:30:00,413.241855,C,883.81,40.08,25.63,0.271,33.333,688.986,414.180,636.057,195.265,96.61,0.7897,29.13,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000629,PLT-0073,INV-001,SENS-1858,temperature,2024-12-09T09:37:49,389.013497,C,936.36,54.86,23.72,0.076,41.589,607.911,131.553,630.329,158.539,95.34,0.7553,-31.94,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000630,PLT-0029,INV-019,SENS-3190,irradiance,2024-12-09T09:21:06,314.041327,W/m2,989.18,37.15,15.58,0.180,10.708,956.461,197.945,554.702,148.920,97.77,0.7616,24.66,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000631,PLT-0008,INV-003,SENS-4460,temperature,2024-12-09T09:55:11,161.572655,C,661.30,52.06,18.45,0.279,20.772,779.231,376.500,588.341,204.886,94.31,0.7562,-44.23,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000632,PLT-0061,INV-033,SENS-1136,tracking_angle,2024-12-09T09:42:37,85.796329,degrees,660.80,43.27,17.58,0.235,3.860,703.380,351.924,505.965,248.109,95.68,0.8411,0.71,BAD,NORMAL,2025-12-09T14:25:05
SR-0000000633,PLT-0007,INV-030,SENS-3920,tracking_angle,2024-12-09T09:12:45,277.318163,degrees,623.01,25.56,19.24,0.374,27.711,948.878,414.757,581.273,377.449,96.36,0.7666,25.04,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000634,PLT-0019,INV-046,SENS-3770,irradiance,2024-12-09T09:25:22,901.456678,W/m2,642.40,49.15,20.89,0.369,41.080,985.495,393.868,611.602,371.097,96.78,0.8437,28.00,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000635,PLT-0001,INV-037,SENS-4653,voltage,2024-12-09T09:03:52,537.555884,V,811.58,44.79,29.67,0.264,15.388,931.814,298.439,616.485,155.848,94.26,0.7522,-13.52,BAD,WARNING,2025-12-09T14:25:05
SR-0000000636,PLT-0060,INV-004,SENS-1777,temperature,2024-12-09T09:43:35,594.942042,C,936.77,33.69,19.86,0.121,1.488,615.949,206.651,634.828,195.466,94.16,0.8171,-6.39,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000637,PLT-0047,INV-015,SENS-4841,voltage,2024-12-09T09:24:30,495.296394,V,605.46,39.10,26.39,0.096,29.291,939.497,107.040,570.004,157.138,97.47,0.8289,8.69,NOT_VERIFIED,FAULT,2025-12-09T14:25:05
SR-0000000638,PLT-0050,INV-040,SENS-5856,voltage,2024-12-09T09:29:52,842.623187,V,980.34,44.09,24.94,0.248,26.550,878.324,297.525,489.564,377.573,97.49,0.8094,-40.21,NOT_VERIFIED,WARNING,2025-12-09T14:25:05
SR-0000000639,PLT-0086,INV-025,SENS-2093,current,2024-12-09T09:04:47,80.859682,A,699.08,28.82,19.66,0.271,23.732,744.325,382.973,637.734,292.287,95.73,0.7606,-26.96,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000640,PLT-0082,INV-041,SENS-9295,current,2024-12-09T09:50:37,352.336858,A,931.03,45.47,21.86,0.206,27.899,799.242,270.663,608.384,167.624,94.01,0.8415,37.09,NOT_VERIFIED,WARNING,2025-12-09T14:25:05
SR-0000000641,PLT-0001,INV-037,SENS-9983,irradiance,2024-12-09T09:27:37,678.221709,W/m2,713.58,35.87,28.51,0.158,47.733,720.361,231.541,537.221,163.142,95.03,0.8176,2.23,SUSPECT,WARNING,2025-12-09T14:25:05
SR-0000000642,PLT-0083,INV-014,SENS-4113,voltage,2024-12-09T09:28:35,105.207187,V,733.31,45.58,17.23,0.335,46.534,804.199,438.613,562.803,234.983,96.94,0.7884,36.30,BAD,WARNING,2025-12-09T14:25:05
SR-0000000643,PLT-0011,INV-037,SENS-4849,temperature,2024-12-09T09:45:54,928.181240,C,969.60,39.89,19.30,0.076,26.099,630.831,126.520,622.388,383.837,96.84,0.7621,-1.18,BAD,CRITICAL,2025-12-09T14:25:05
SR-0000000644,PLT-0006,INV-032,SENS-1891,voltage,2024-12-09T09:55:06,236.379162,V,843.04,44.82,22.14,0.100,6.959,779.662,135.602,510.055,189.250,95.40,0.8414,-15.18,BAD,NORMAL,2025-12-09T14:25:05
SR-0000000645,PLT-0017,INV-049,SENS-6602,voltage,2024-12-09T09:48:51,513.351071,V,956.05,46.39,27.34,0.295,26.279,914.513,339.643,506.359,345.756,96.80,0.8056,4.61,BAD,FAULT,2025-12-09T14:25:05
SR-0000000646,PLT-0003,INV-022,SENS-4896,voltage,2024-12-09T09:36:23,760.300410,V,963.47,36.54,26.84,0.086,25.898,682.758,132.391,585.539,280.363,94.31,0.7799,-30.88,NOT_VERIFIED,WARNING,2025-12-09T14:25:05
SR-0000000647,PLT-0017,INV-027,SENS-3962,temperature,2024-12-09T09:14:25,128.669916,C,734.23,27.09,26.14,0.364,44.574,899.005,425.636,671.377,320.254,97.07,0.8240,-2.83,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000648,PLT-0035,INV-035,SENS-3609,current,2024-12-09T09:55:50,122.033324,A,838.28,31.34,24.74,0.234,8.079,682.923,360.526,654.534,387.694,94.03,0.7717,-12.45,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000649,PLT-0013,INV-009,SENS-6152,tracking_angle,2024-12-09T09:58:45,205.194906,degrees,644.63,27.62,21.60,0.124,39.968,783.107,167.168,684.519,147.313,94.50,0.7716,-13.15,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000650,PLT-0021,INV-040,SENS-7750,power,2024-12-09T09:59:42,989.584128,MW,668.17,54.63,19.81,0.164,15.995,702.591,245.132,672.801,149.661,95.35,0.8001,-21.45,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000651,PLT-0004,INV-003,SENS-3657,power,2024-12-09T09:49:15,272.605053,MW,822.68,41.41,16.71,0.097,22.340,857.933,119.085,594.420,205.687,95.19,0.7975,6.35,BAD,NORMAL,2025-12-09T14:25:05
SR-0000000652,PLT-0085,INV-041,SENS-1400,voltage,2024-12-09T09:16:43,897.740639,V,858.31,45.34,18.55,0.205,21.279,651.190,331.568,558.102,119.505,97.83,0.8153,31.17,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000653,PLT-0099,INV-031,SENS-5928,voltage,2024-12-09T09:22:14,260.971944,V,997.35,48.00,17.71,0.331,23.916,897.598,388.701,668.415,309.373,97.35,0.7845,-38.74,BAD,NORMAL,2025-12-09T14:25:05
SR-0000000654,PLT-0089,INV-044,SENS-2451,temperature,2024-12-09T09:04:36,9.947243,C,921.79,37.36,24.61,0.132,38.334,600.730,231.237,550.610,103.022,94.92,0.7681,-34.42,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000655,PLT-0037,INV-046,SENS-1208,irradiance,2024-12-09T09:40:42,746.538171,W/m2,651.23,37.48,15.87,0.125,29.538,999.114,131.986,683.233,134.806,96.22,0.7815,2.12,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000656,PLT-0089,INV-037,SENS-8143,temperature,2024-12-09T09:05:48,144.022133,C,885.81,32.65,22.65,0.113,6.943,925.921,128.084,665.119,102.570,97.04,0.8284,-3.37,NOT_VERIFIED,FAULT,2025-12-09T14:25:05
SR-0000000657,PLT-0022,INV-033,SENS-1847,irradiance,2024-12-09T09:58:55,14.132257,W/m2,616.22,50.48,26.64,0.290,23.827,971.793,314.321,667.102,304.130,97.13,0.7546,34.31,SUSPECT,FAULT,2025-12-09T14:25:05
SR-0000000658,PLT-0083,INV-044,SENS-6300,current,2024-12-09T09:52:02,194.376938,A,783.44,39.72,28.16,0.294,8.137,780.195,396.167,641.098,294.109,95.30,0.7636,31.12,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000659,PLT-0002,INV-002,SENS-3513,voltage,2024-12-09T09:57:54,971.171247,V,881.18,29.34,28.12,0.275,19.083,842.181,344.242,655.368,287.135,94.55,0.8013,34.80,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000660,PLT-0098,INV-014,SENS-2411,power,2024-12-09T09:17:09,65.678130,MW,694.34,45.88,21.63,0.418,12.818,987.240,446.104,568.902,244.359,96.28,0.8005,15.54,NOT_VERIFIED,WARNING,2025-12-09T14:25:05
SR-0000000661,PLT-0046,INV-037,SENS-8148,tracking_angle,2024-12-09T09:47:40,677.647132,degrees,898.03,48.54,27.95,0.288,14.720,800.469,378.689,534.864,345.905,97.10,0.7876,-26.81,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000662,PLT-0002,INV-002,SENS-3642,tracking_angle,2024-12-09T09:21:38,271.050983,degrees,655.12,38.71,18.75,0.258,46.564,956.821,283.940,666.250,159.286,96.00,0.8396,-17.22,SUSPECT,WARNING,2025-12-09T14:25:05
SR-0000000663,PLT-0017,INV-039,SENS-7455,current,2024-12-09T09:45:31,919.730469,A,627.38,32.83,27.41,0.280,12.868,902.207,326.898,670.496,386.413,96.80,0.8292,35.71,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000664,PLT-0030,INV-023,SENS-5031,voltage,2024-12-09T09:23:47,103.826468,V,884.57,31.53,23.55,0.120,18.347,935.559,134.839,599.468,251.005,97.25,0.7973,34.82,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000665,PLT-0088,INV-029,SENS-6161,current,2024-12-09T09:42:53,466.625856,A,775.43,42.56,29.02,0.259,6.974,812.464,335.005,502.324,340.959,96.95,0.7675,-10.96,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000666,PLT-0027,INV-048,SENS-7411,power,2024-12-09T09:19:30,42.408516,MW,688.63,48.89,20.73,0.385,0.020,883.973,458.180,530.523,212.324,97.07,0.8020,-9.08,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000667,PLT-0036,INV-022,SENS-4047,irradiance,2024-12-09T09:08:38,256.205002,W/m2,749.29,51.37,24.77,0.094,2.888,793.339,124.486,531.956,392.196,95.43,0.7627,9.16,SUSPECT,CRITICAL,2025-12-09T14:25:05
SR-0000000668,PLT-0011,INV-007,SENS-3290,temperature,2024-12-09T09:46:57,497.308041,C,893.51,39.97,21.22,0.126,8.705,719.782,183.717,645.045,274.428,97.97,0.8260,-6.36,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
SR-0000000669,PLT-0091,INV-014,SENS-2359,current,2024-12-09T09:31:19,433.770349,A,832.13,53.96,18.19,0.230,18.096,761.516,318.367,515.682,154.707,97.40,0.7818,-37.82,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000670,PLT-0072,INV-036,SENS-7135,tracking_angle,2024-12-09T09:09:09,596.052919,degrees,719.11,43.92,25.14,0.267,45.485,781.992,359.286,593.794,254.765,97.57,0.7609,16.14,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000671,PLT-0045,INV-019,SENS-1811,voltage,2024-12-09T09:04:59,760.650126,V,750.92,32.77,16.42,0.124,6.632,867.249,150.368,486.890,193.202,96.92,0.8057,-6.21,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000672,PLT-0047,INV-004,SENS-9462,power,2024-12-09T09:59:55,512.902319,MW,955.30,47.09,21.67,0.136,35.561,782.550,183.001,638.867,314.585,94.24,0.7807,-13.91,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000673,PLT-0079,INV-013,SENS-7737,temperature,2024-12-09T09:30:10,490.342683,C,741.09,30.61,26.50,0.310,45.923,655.012,498.387,508.513,395.470,96.23,0.7958,4.53,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000674,PLT-0067,INV-028,SENS-2601,voltage,2024-12-09T09:14:29,319.886940,V,818.38,32.71,24.17,0.232,35.349,697.847,349.709,524.342,171.348,96.07,0.7582,0.53,SUSPECT,FAULT,2025-12-09T14:25:05
SR-0000000675,PLT-0041,INV-004,SENS-8174,voltage,2024-12-09T09:25:52,118.558897,V,672.62,51.70,27.94,0.371,2.253,844.034,463.088,519.534,290.226,95.84,0.8394,-34.43,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000676,PLT-0081,INV-041,SENS-4645,power,2024-12-09T09:33:54,402.251108,MW,986.36,29.65,16.06,0.279,6.432,967.427,303.280,618.127,167.401,95.11,0.8407,-22.61,SUSPECT,CRITICAL,2025-12-09T14:25:05
SR-0000000677,PLT-0083,INV-025,SENS-7914,tracking_angle,2024-12-09T09:50:35,997.858457,degrees,697.61,37.54,28.70,0.117,12.321,844.539,145.384,604.416,343.284,94.27,0.8450,-34.38,NOT_VERIFIED,WARNING,2025-12-09T14:25:05
SR-0000000678,PLT-0094,INV-040,SENS-4130,power,2024-12-09T09:08:51,258.805244,MW,707.73,36.20,18.34,0.086,33.865,833.776,108.209,513.573,226.369,97.67,0.8091,-25.06,BAD,NORMAL,2025-12-09T14:25:05
SR-0000000679,PLT-0054,INV-005,SENS-1900,tracking_angle,2024-12-09T09:33:29,926.276020,degrees,678.25,53.27,21.41,0.075,2.596,611.968,128.498,626.904,245.543,96.15,0.7808,-40.97,BAD,FAULT,2025-12-09T14:25:05
SR-0000000680,PLT-0021,INV-004,SENS-4724,voltage,2024-12-09T09:45:23,345.261727,V,821.30,33.55,22.71,0.319,32.805,860.531,390.747,607.125,320.513,96.19,0.8490,-1.20,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000681,PLT-0057,INV-022,SENS-3763,temperature,2024-12-09T09:19:48,865.428913,C,790.74,37.04,20.48,0.133,30.985,806.832,174.012,514.948,286.304,94.68,0.7968,19.95,GOOD,CRITICAL,2025-12-09T14:25:05
SR-0000000682,PLT-0086,INV-040,SENS-7685,tracking_angle,2024-12-09T09:28:28,613.390620,degrees,652.96,53.46,25.50,0.354,46.412,923.605,403.505,497.160,100.695,96.69,0.7977,29.11,GOOD,FAULT,2025-12-09T14:25:05
SR-0000000683,PLT-0069,INV-021,SENS-5529,voltage,2024-12-09T09:19:17,382.090501,V,735.34,52.29,24.63,0.133,48.913,787.172,177.706,617.152,186.840,94.77,0.8498,13.76,BAD,WARNING,2025-12-09T14:25:05
SR-0000000684,PLT-0070,INV-017,SENS-7758,power,2024-12-09T09:44:59,564.687572,MW,730.10,29.47,21.16,0.305,25.983,781.903,410.542,587.865,240.885,95.56,0.7913,29.34,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
SR-0000000685,PLT-0021,INV-047,SENS-7645,voltage,2024-12-09T09:33:55,58.754736,V,664.07,34.34,17.02,0.414,40.089,990.887,440.036,603.770,208.933,95.52,0.7843,-33.53,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000686,PLT-0034,INV-014,SENS-2880,voltage,2024-12-09T09:11:20,464.439745,V,898.11,30.69,24.65,0.358,12.993,966.335,390.169,670.885,307.326,95.51,0.7964,36.97,GOOD,WARNING,2025-12-09T14:25:05
SR-0000000687,PLT-0031,INV-039,SENS-8932,irradiance,2024-12-09T09:41:58,628.266698,W/m2,792.47,41.68,23.88,0.274,34.035,625.638,460.682,545.769,195.880,96.16,0.7881,-6.90,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000688,PLT-0001,INV-028,SENS-6984,tracking_angle,2024-12-09T09:24:00,539.158596,degrees,885.81,42.81,21.82,0.164,12.925,612.773,281.270,526.557,135.492,96.00,0.8443,-4.76,BAD,NORMAL,2025-12-09T14:25:05
SR-0000000689,PLT-0086,INV-006,SENS-4339,voltage,2024-12-09T09:28:38,858.309921,V,746.55,52.38,17.94,0.159,29.694,881.351,190.237,510.143,398.146,95.88,0.8419,-44.44,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000690,PLT-0059,INV-022,SENS-7647,current,2024-12-09T09:44:09,854.952857,A,698.83,47.78,19.29,0.220,14.471,650.511,355.635,550.507,376.320,94.62,0.8141,1.90,SUSPECT,NORMAL,2025-12-09T14:25:05
SR-0000000691,PLT-0002,INV-049,SENS-2556,temperature,2024-12-09T09:08:43,507.369891,C,774.82,30.87,28.98,0.126,3.784,723.130,183.410,558.178,380.112,95.55,0.8351,-15.95,GOOD,NORMAL,2025-12-09T14:25:05
SR-0000000692,PLT-0011,INV-036,SENS-5742,current,2024-12-09T09:39:44,573.099559,A,909.04,35.03,20.81,0.312,24.783,693.557,472.805,587.445,182.960,95.32,0.8021,-38.81,BAD,NORMAL,2025-12-09T14:25:05
SR-0000000693,PLT-0048,INV-006,SENS-9726,voltage,2024-12-09T09:30:58,780.740936,V,672.56,34.80,28.96,0.388,31.266,816.209,499.795,661.543,232.076,96.27,0.8262,-12.09,NOT_VERIFIED,NORMAL,2025-12-09T14:25:05
